PCE,VOC,JSC,FF
5.31,590.0,13.64,0.66
2.26,451.0,7.3,0.69
4.61,580.0,11.85,0.67
5.2,634.7,11.6,0.7011
5.2,738.1,10.2,0.6881
1.43,580.0,3.72,0.66
1.7,590.0,4.28,0.67
2.44,660.0,5.72,0.65
7.44,796.0,12.49,0.748
6.64,797.0,11.78,0.707
6.72,814.0,11.38,0.726
6.06,764.0,10.9,0.728
3.14,670.0,6.575,0.7
4.03,695.0,8.817,0.68
4.02,705.0,8.754,0.68
2.66,675.0,5.76,0.6853
1.12,558.0,2.73,0.7346
8.5,780.0,15.42,0.68
4.4,700.0,9.95,0.64
2.74,706.0,7.12,0.5463
5.32,734.0,12.06,0.6006
5.64,730.0,12.63,0.6175
6.17,745.0,13.11,0.66
7.11,739.0,14.68,0.68
7.97,745.0,16.92,0.67
7.55,713.0,15.99,0.66
6.87,728.0,13.1,0.72
6.59,720.0,13.45,0.68
5.07,670.0,10.96,0.69
5.66,720.0,11.39,0.69
4.22,640.0,9.7,0.68
7.66,780.0,13.84,0.71
6.05,720.0,11.51,0.73
6.75,780.0,11.86,0.73
4.97,680.0,10.02,0.73
4.56,670.0,9.33,0.73
4.39,730.0,8.6,0.7
7.56,745.0,14.2,0.71
8.28,757.0,15.3,0.71
6.82,705.0,14.0,0.69
4.5,648.0,10.8,0.6365
1.5,528.5,4.8,0.5935
4.84,740.0,11.11,0.59
5.6,710.0,11.44,0.69
5.27,690.0,10.92,0.7
2.65,512.0,7.7,0.67
4.52,548.0,11.82,0.7
3.52,522.0,10.02,0.67
5.77,710.0,11.43,0.7046
6.61,640.0,13.7,0.752
5.09,660.0,10.8,0.7063
3.37,693.0,9.17,0.5307
4.63,690.0,10.54,0.63
5.46,680.0,12.21,0.65
4.89,590.0,12.16,0.68
3.24,550.0,9.44,0.63
2.28,500.0,6.46,0.71
2.14,490.0,6.17,0.71
6.14,756.0,12.26,0.66
5.85,740.0,11.92,0.66
5.25,705.0,10.92,0.68
4.46,670.0,10.56,0.63
4.54,689.0,9.56,0.69
5.0,719.0,9.67,0.72
1.89,670.0,3.76,0.74
3.28,650.0,6.89,0.73
3.13,700.0,6.71,0.66
4.91,658.0,10.6,0.7
5.8,610.0,14.2,0.67
5.7,640.0,13.5,0.66
0.93,571.0,2.22,0.73
2.82,661.0,6.7,0.64
7.48,742.0,17.18,0.59
6.56,688.0,15.4,0.62
6.14,661.0,14.63,0.63
8.01,680.0,15.92,0.74
8.12,670.0,16.37,0.74
5.22,690.0,10.2,0.74
5.81,640.0,12.63,0.72
4.04,710.0,8.33,0.69
5.52,690.0,11.5,0.69
4.87,700.0,10.58,0.66
4.24,720.0,8.78,0.67
5.34,680.0,12.23,0.64
4.0,695.0,8.713,0.68
4.87,694.4,10.88,0.65
3.61,546.0,10.91,0.61
5.75,670.0,13.0,0.66
7.7,720.0,15.5,0.69
7.0,780.0,12.8,0.68
6.7,820.0,11.57,0.6826
7.69,720.0,19.09,0.56
5.17,650.0,14.74,0.54
5.24,820.0,11.3,0.56
7.45,879.0,13.7,0.62
2.57,747.0,6.9,0.5
1.06,700.0,2.5,0.61
10.45,846.0,21.3,0.58
12.1,846.0,24.2,0.59
4.27,773.0,9.2,0.6
4.2,763.0,9.6,0.58
1.3,757.0,2.9,0.59
1.7,758.0,3.9,0.59
4.6,736.0,7.81,0.74
3.5,693.0,7.08,0.71
3.2,696.0,6.02,0.72
1.54,760.0,3.07,0.74
2.54,710.0,5.04,0.72
3.23,770.0,7.2,0.68
0.695,770.0,1.712,0.641
4.87,700.0,10.29,0.68
1.63,547.0,4.31,0.692
1.21,512.0,3.72,0.626
3.97,646.0,8.59,0.717
4.08,680.0,8.58,0.699
3.73,650.0,8.3,0.691
3.64,635.0,7.35,0.67
4.8,666.0,9.7,0.68
5.69,601.0,11.31,0.71
4.82,612.0,9.94,0.69
4.62,750.0,9.98,0.67
4.3,690.0,8.71,0.7
4.27,730.0,8.59,0.67
4.44,670.0,8.45,0.7
4.04,740.0,7.91,0.69
3.68,630.0,4.0,0.796
3.66,680.0,4.93,0.713
2.36,740.0,4.42,0.767
5.22,730.0,7.12,0.781
5.07,915.0,7.36,0.752
4.1,621.0,8.76,0.754
2.98,562.0,8.25,0.64
6.44,666.0,15.6,0.62
6.1,616.0,16.2,0.61
4.77,630.0,12.5,0.61
3.9,760.0,7.09,0.71
2.9,710.0,5.65,0.72
4.0,770.0,7.11,0.73
5.45,616.0,13.6,0.65
4.8,701.0,10.5,0.63
0.819,555.0,2.186,0.626
6.92,620.0,18.3,0.61
7.2,628.0,19.3,0.59
6.83,630.0,18.1,0.6
6.05,660.0,15.3,0.6
2.15,680.0,4.39,0.71
2.43,595.0,5.76,0.71
2.09,670.0,4.18,0.74
7.4,730.0,13.8,0.73
7.0,740.0,13.9,0.68
6.5,680.0,13.1,0.73
5.9,630.0,13.2,0.7
6.7,700.0,15.5,0.62
7.3,710.0,15.4,0.67
3.6,710.0,10.34,0.51
7.62,708.0,16.0,0.67
6.48,701.0,14.8,0.63
7.03,742.0,14.1,0.67
2.81,589.0,7.61,0.63
2.4,720.0,4.75,0.71
3.2,780.0,6.08,0.68
3.3,780.0,5.87,0.72
