VOC,JSC,FF,PCE,Electrolyte,Semiconductor,Active area,Dye loading,Co-adsorbent,Co-sensitizer,Has_Coadsorbent,Has_Cosensitizer
620.0,15.0,0.69,6.4,"0.6 M DMPImI, 0.1 M LiI, 0.05 M I2 , and 0.5 M TBP",TiO2 film (18 um transparent layer+ 7 um scattering layer ),0.2354,-,10 mM CDCA,-,1,0
630.0,16.8,0.7,7.4,"0.6 M DMPImI, 0.1 M LiI, 0.05 M I2 , and 0.5 M TBP",TiO2 film (18 um transparent layer+ 7 um scattering layer ),0.2354,-,60 mM CDCA,-,1,0
707.5,11.91,0.7264,6.12,"0.7 M 1-propryl-3-methyl-imidazolium iodide (PMII), 0.2 M of LiI, 0.05 M of I2 , and 0.5 M of TBP in acetonitrileÀvaleronitrile (v/v, 85/18)",TiO2 thin film (20 nm particles with scattering layer containing 250 nm particles),0.24,-,Saturated,-,1,0
540.0,16.9,0.63,5.7,"0.1 M LiI, 0.05 M I2 , 0.6 M DMPImI, and TBP in dry AN","TiO2 film (6 um,+ 6 um scattering layer )",0.25,-,-,-,0,0
640.0,16.9,0.72,7.8,"0.6 M DMPImI, 0.1 M LiI, 0.05 M I2 , and 0.5 M TBP",TiO2 film (18 um transparent layer+ 7 um scattering layer ),0.2354,-,120 mM CDCA,-,1,0
660.0,16.0,0.72,7.6,"0.6 M DMPImI, 0.1 M LiI, 0.05 M I2 , and 0.5 M TBP",TiO2 film (18 um transparent layer+ 7 um scattering layer ),0.2354,-,160 mM CDCA,-,1,0
600.0,14.0,0.71,6.0,0.6 M DMPImI–0.1 M LiI–0.05 M I2 in propionitrile-acetonitrile (6:4),TiO2 film (13 um thick),0.25,-,-,-,0,0
730.0,14.3,0.74,7.7,"0.6 M DMPImI–0.1 M LiI–0.05 M I2, 1.0 M TBP in acetonitrile",TiO2 film (14 um thick),0.25,-,40 mM CDCA,-,1,0
670.0,14.7,0.73,7.2,"0.6 M DMPImI–0.1 M LiI–0.05 M I2, 1.0 M TBP in acetonitrile",TiO2 film (14 um thick),0.25,-,40 mM CDCA,-,1,0
491.0,2.461,0.635,0.767,"0.1 M LiI, 0.05 M I2, 0.5 M PMII, 0.6 M tert-butyl pyridine in 3-methoxypropionitile","TiO2 film (12 um,+4 um scattering layer )",0.25,-,-,-,0,0
501.0,2.082,0.614,0.64,"0.1 M LiI, 0.05 M I2, 0.5 M PMII, 0.6 M tert-butyl pyridine in 3-methoxypropionitile","TiO2 film (12 um,+4 um scattering layer )",0.25,-,-,-,0,0
470.0,1.912,0.69,0.581,"0.1 M LiI, 0.05 M I2, 0.5 M PMII, 0.6 M tert-butyl pyridine in 3-methoxypropionitile","TiO2 film (12 um,+4 um scattering layer )",0.25,-,-,-,0,0
441.0,1.754,0.683,0.528,"0.1 M LiI, 0.05 M I2, 0.5 M PMII, 0.6 M tert-butyl pyridine in 3-methoxypropionitile","TiO2 film (12 um,+4 um scattering layer )",0.25,-,-,-,0,0
610.0,13.47,0.68,5.53,"0.6 M 1-butyl-3-methylimidiazolium iodide (BMII), 0.1 M LiI, 0.05 M I2 , and 0.6 M tert-butylpyridine (TBP) in acetonitrile","TiO2 film (12 um,+4 um scattering layer )",0.142,143 nmol/cm2,-,-,0,0
608.0,10.77,0.7,4.56,"0.6 M 1-butyl-3-methylimidiazolium iodide (BMII), 0.1 M LiI, 0.05 M I2 , and 0.6 M tert-butylpyridine (TBP) in acetonitrile","TiO2 film (12 um,+4 um scattering layer )",0.142,-,5 mM DCA,-,1,0
561.0,10.5,0.68,4.02,"0.6 M 1-butyl-3-methylimidiazolium iodide (BMII), 0.1 M LiI, 0.05 M I2 , and 0.6 M tert-butylpyridine (TBP) in acetonitrile","TiO2 film (12 um,+4 um scattering layer )",0.142,124 nmol/cm2,-,-,0,0
558.0,8.84,0.71,3.52,"0.6 M 1-butyl-3-methylimidiazolium iodide (BMII), 0.1 M LiI, 0.05 M I2 , and 0.6 M tert-butylpyridine (TBP) in acetonitrile","TiO2 film (12 um,+4 um scattering layer )",0.142,-,5 mM DCA,-,1,0
508.0,7.61,0.7,2.74,"0.6 M 1-butyl-3-methylimidiazolium iodide (BMII), 0.1 M LiI, 0.05 M I2 , and 0.6 M tert-butylpyridine (TBP) in acetonitrile","TiO2 film (12 um,+4 um scattering layer )",0.142,196 nmol/cm2,-,-,0,0
