Formula,A_ion,B_ion,X_ion,Bandgap,ETL,HTL,Backcontact,Antisolvent,Solvent,Solv_annel,Anneal_temp,Dep_procedure,Synth_atm,Cell_area,Is_module,Voc,Jsc,FF,PCE,entry_id
MAPbI3,MA,Pb,I,1.6,TiO2-c,Spiro-MeOTAD,Au,Gas,DMF,False,100.0,Spin-coating,Air,0.16,False,0.997,18.81,0.61,11.37,-6h2G96GkmCPYPIqdXaq8HCWu5jf
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Unknown,DMF; DMSO >> IPA,False,Unknown >> 130.0,Spin-coating >> Spin-coating,N2 >> N2,0.089,False,1.0490000000000002,19.8,0.7659999999999999,15.9,-6qG3qZAyIrdkP9MRxWqWv1QD0O6
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Unknown,DMF; DMSO >> IPA,False,Unknown >> 100.0,Spin-coating >> Spin-coating,Unknown,0.06,False,1.01,16.16,0.69,16.16,-6wIdM0nN9Pyp8-JSqcbftOk1SfF
MAPbI3,MA,Pb,I,1.5,TiO2-c | TiO2-mp,Spiro-MeOTAD,Ag,Unknown,DMF >> IPA,False,70.0 >> 100.0,Spin-coating >> CBD,N2 >> N2,0.16,False,0.88,22.54,0.622,12.34,-76tdyCa0F0EEKeDBzXMhZ72qI0A
MAPbI3,MA,Pb,I,1.55,SnO2-c,PTAA,Au,Unknown,DMF >> IPA,False,Unknown >> 70.0,Spin-coating >> CBD,Ambient >> Ambient,0.09,False,1.0,19.4,0.67,13.1,-78Ilrb8NLbwNPncr6BJkeCT0DVZ
MAPbI3,MA,Pb,I,1.5,PCBM-60 | BCP,NiO-c,Ag,Unknown,DMF >> IPA,False,70.0 >> 70.0,Spin-coating >> CBD,Unknown,0.09,False,1.035,13.9,0.67,9.6,-7B2bBeX_4ziXdDC5JnMy4XY_aHm
MAPbI3,MA,Pb,I,1.6,TiO2-c,SP-02,Au,Unknown,DMF,False,95.0,Spin-coating,Unknown,0.1,False,,,,,-7CMNIskEQLMjHz4dArLsyonezH4
Cs0.08FA0.77MA0.15PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,1.6,C60 | BCP,PEDOT:PSS,Cu,Ethyl acetate,DMF; DMSO,False,100,Spin-coating,N2,0.16,False,0.742,18.372,0.683,9.3,-7EmjWVRoxE2z-oowqsacZAocg6l
MAPbI3,MA,Pb,I,1.55,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Unknown,DMF; GBL,False,100.0,Spin-coating,Air,0.09,False,0.02,0.903,0.536,9.63,-7M8qe4wtT5gCQrCpDQGhbZH7-8A
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Unknown,DMF >> IPA,False,Unknown >> 100.0,Spin-coating >> CBD,Unknown,0.13,False,1.025,18.69,0.72,13.75,-7MYdDRfgoRsp5vfrQ9pRwmHbePn
